Feature,Coefficient,Abs_Coefficient
TotalFloorArea_sqm,22204497.01759834,22204497.01759834
AverageDaysOnMarket_in_Ward,-3910789.418215694,3910789.418215694
IsOldDangerousBuilding,-2023139.8740004643,2023139.8740004643
NearbyNegativeFacility,-1991358.679300705,1991358.679300705
IsJikoBukken,-1603073.6600529503,1603073.6600529503
PastDisasterHistory,-1221231.4400602805,1221231.4400602805
SaleCondition,1211935.4651999124,1211935.4651999124
IsLuxuryNearMajorStation,1024034.7027723464,1024034.7027723464
IsTraditionHighPrice,933445.0132479081,933445.0132479081
OwnershipType,-837015.9549979642,837015.9549979642
LandToFloorRatio,562576.1270238123,562576.1270238123
EarthquakeSafetyScore,440863.12913559,440863.12913559
YearRenovated,418209.68098288076,418209.68098288076
YearsSinceRenovation,-418209.6809828796,418209.6809828796
NeighborhoodAvgIncome_JPY,379392.1456003536,379392.1456003536
LandArea_sqm,-349609.06571146543,349609.06571146543
IsAirbnbZone,344165.6496832636,344165.6496832636
FloodRiskLevel,-334596.75316307915,334596.75316307915
BedroomCount,261293.86169242696,261293.86169242696
MaintenanceScore,254544.91006914427,254544.91006914427
EnergyEfficiencyRating,-246084.23805999453,246084.23805999453
IsRedevelopmentArea,240020.84063683136,240020.84063683136
AgeScore,219068.00201051583,219068.00201051583
RoadType,196127.35645741923,196127.35645741923
EarthquakeResistant,-187485.5249886245,187485.5249886245
BedroomRatio,-187338.63197056204,187338.63197056204
ParkingType,183631.25118920568,183631.25118920568
HasBalcony,150190.4692049916,150190.4692049916
NumberOfListings_in_Ward_Last3Months,137786.23949184886,137786.23949184886
KitchenType,-137025.43746163952,137025.43746163952
AreaPerRoom,134703.7148756644,134703.7148756644
LegalComplianceScore,129945.80756096647,129945.80756096647
GreenBuildingCertified,121659.62477847084,121659.62477847084
YearBuilt,-116138.31825995335,116138.31825995335
BuildingAge,116138.31825994991,116138.31825994991
ConstructionMaterial,-113830.58406582684,113830.58406582684
HasParking,-108374.06694555748,108374.06694555748
NumberOfTrainLines_at_NearestStation,-103884.00517526176,103884.00517526176
ForeignOwnershipAllowed,99301.84081522934,99301.84081522934
RestaurantDensity_in_500m,96462.02308707125,96462.02308707125
HasGym,-92791.0899492884,92791.0899492884
CentralAC,-92563.00523146964,92563.00523146964
ThermalInsulationScore,-89537.74692697474,89537.74692697474
HasLounge,89410.32742894953,89410.32742894953
TatamiRoomPresent,89223.25287381222,89223.25287381222
DistanceToStation_m,84211.03305907873,84211.03305907873
SunlightHours,-83181.10542036267,83181.10542036267
ListedBy,-79716.09255748533,79716.09255748533
FurnitureIncluded,78077.14911537041,78077.14911537041
WasherDryerIncluded,74013.24142077076,74013.24142077076
FloorHeight_cm,-70995.88753215037,70995.88753215037
HasOutdoorSpace,69202.06529511535,69202.06529511535
ExteriorCondition,-69136.47567749582,69136.47567749582
CustomFeature_5,67538.57940682571,67538.57940682571
RoomCount,65234.79848717712,65234.79848717712
PropertyType,-64291.386809493415,64291.386809493415
HasGuestRoom,-62178.80619428958,62178.80619428958
LivingRoomCount,-60959.53922009602,60959.53922009602
CulturalHeritageZone,-60773.33522491902,60773.33522491902
CustomFeature_1,-59691.55494759581,59691.55494759581
LuxuryScore,-59620.0399272223,59620.0399272223
TravelTimeToMajorHub_min,57313.538620296866,57313.538620296866
HasConcierge,-54341.957627524156,54341.957627524156
FirstTimeBuyerEligible,51789.10456793738,51789.10456793738
IsBathAndToiletSeparate,48117.331187440665,48117.331187440665
LightingSystem,-45688.15761239466,45688.15761239466
SmartHome,45583.654024362564,45583.654024362564
PopulationGrowthRate,44631.56658479647,44631.56658479647
FloorAreaRatio_Limit,43156.24966450012,43156.24966450012
MonthlyMaintenanceFee_JPY,-42648.1364522744,42648.1364522744
InteriorCondition,42601.94341506995,42601.94341506995
HasStorageRoom,42011.23656897567,42011.23656897567
PetFriendly,-41756.97975733364,41756.97975733364
BuildingDensityZone,-41118.68011153716,41118.68011153716
DistanceToHospital_m,-40715.7247687364,40715.7247687364
ZoneType,39722.21165414876,39722.21165414876
ForeignerPopulationRatio,-37821.516050285194,37821.516050285194
SeismicZone,-37190.909997488605,37190.909997488605
FloorHeating,-35472.50827896397,35472.50827896397
ListingMonth,34649.205994725606,34649.205994725606
AgentRating,-34549.6883798769,34549.6883798769
BasicAmenityScore,34243.5541467953,34243.5541467953
SaleType,-34115.815304511576,34115.815304511576
AirQualityScore,-34058.6624417376,34058.6624417376
BuildingInsuranceIncluded,-33344.25923204189,33344.25923204189
DistanceToSchool_m,33156.8880594736,33156.8880594736
BathroomCount,-31343.56484998425,31343.56484998425
NearbyShrineOrTemple,30567.27111150208,30567.27111150208
Floors,-30185.441831022035,30185.441831022035
LastSoldPrice_JPY,-28007.424972371897,28007.424972371897
HasRooftop,27025.976467617555,27025.976467617555
Availability,26050.31588396273,26050.31588396273
HasGarden,-25125.35087739164,25125.35087739164
ShojiScreensIncluded,-23820.905336365104,23820.905336365104
NearbyConstruction,-23032.58683102019,23032.58683102019
LoanSupportAvailable,22550.027449900634,22550.027449900634
ParkAreaRatio_in_1km,19071.412314111833,19071.412314111833
QualityScore,-18074.953657245263,18074.953657245263
ConvenienceStoreCount_in_250m,17614.565815638984,17614.565815638984
NoiseLevel,-12914.136253905715,12914.136253905715
Ward,11866.423140995403,11866.423140995403
KitchenQuality,10627.018745831097,10627.018745831097
CustomFeature_3,9821.234721459448,9821.234721459448
RentalYieldEstimate,-9740.616418586345,9740.616418586345
CustomFeature_2,-9587.916289707064,9587.916289707064
ListingYear,7905.611487962655,7905.611487962655
Orientation,-7800.40043099178,7800.40043099178
BuildingCoverageRatio_Limit,5176.900870652869,5176.900870652869
StorageSpace_sqm,-4793.628377953544,4793.628377953544
IsNewBuilding,4533.673193653231,4533.673193653231
InsulationLevel,3506.6376578318886,3506.6376578318886
ViewQuality,-2338.557032763958,2338.557032763958
CustomFeature_4,1869.877161842538,1869.877161842538
ToiletCount,-216.01566916983575,216.01566916983575
