Ward,ZoneType,CulturalHeritageZone,FloodRiskLevel,NearbyConstruction,DistanceToStation_m,DistanceToSchool_m,DistanceToHospital_m,RoadType,ViewQuality,NoiseLevel,TravelTimeToMajorHub_min,NumberOfTrainLines_at_NearestStation,RestaurantDensity_in_500m,ConvenienceStoreCount_in_250m,ParkAreaRatio_in_1km,PropertyType,ConstructionMaterial,YearBuilt,YearRenovated,Floors,Orientation,LandArea_sqm,TotalFloorArea_sqm,FloorHeight_cm,EarthquakeResistant,HasBalcony,HasRooftop,HasGarden,ParkingType,HasParking,PetFriendly,InsulationLevel,HasGym,HasConcierge,HasLounge,HasGuestRoom,RoomCount,BedroomCount,LivingRoomCount,BathroomCount,ToiletCount,KitchenType,KitchenQuality,FloorHeating,CentralAC,LightingSystem,SmartHome,StorageSpace_sqm,HasStorageRoom,WasherDryerIncluded,FurnitureIncluded,IsBathAndToiletSeparate,ExteriorCondition,InteriorCondition,MaintenanceScore,EnergyEfficiencyRating,AirQualityScore,GreenBuildingCertified,ThermalInsulationScore,EarthquakeSafetyScore,MonthlyMaintenanceFee_JPY,OwnershipType,SaleType,SaleCondition,Availability,ListedBy,ListingYear,ListingMonth,LegalComplianceScore,AgentRating,BuildingInsuranceIncluded,LoanSupportAvailable,FirstTimeBuyerEligible,LastSoldPrice_JPY,TatamiRoomPresent,ShojiScreensIncluded,NearbyShrineOrTemple,SeismicZone,SunlightHours,BuildingDensityZone,ForeignOwnershipAllowed,RentalYieldEstimate,PastDisasterHistory,CustomFeature_1,CustomFeature_2,CustomFeature_3,CustomFeature_4,CustomFeature_5,NeighborhoodAvgIncome_JPY,ForeignerPopulationRatio,PopulationGrowthRate,FloorAreaRatio_Limit,BuildingCoverageRatio_Limit,NumberOfListings_in_Ward_Last3Months,AverageDaysOnMarket_in_Ward,AgeScore,IsJikoBukken,IsAirbnbZone,IsOldDangerousBuilding,IsRedevelopmentArea,NearbyNegativeFacility,IsLuxuryNearMajorStation,IsTraditionHighPrice,Price_JPY
Chuo,Industrial,0,2.562344039234167,Light,286.6802073857912,967.3718892617791,1623.9972477615931,Alley,Panoramic,3.4587482116630697,11.661490815527829,1,23.001434403422433,4,0.191,Mansion,Steel,2002,1992,1,East,100.75373426991132,89.618902817161,233.5964104449368,0,1,0,0,None,1,0,Medium,1,1,1,1,1,2,1,2,1,Closed,Standard,0,1,Smart,1,4.542060729539188,0,1,1,1,4,5,9,E,9,1,10,8,17256.772499199782,Leasehold_50yr,Bank,Normal,VacantSoon,Owner,2023,7,9,4,1,1,0,51803177.92830565,0,1,0,3,6.62431495386679,Medium,0,5.01,1,Yes,73,36.96475151421477,C,0,5303564.476459457,0.29,-0.004,279,57,11,75,6,1,0,0,0,0,0,0,49769000.0
Taito,Commercial,1,1.6121998911337274,Heavy,344.18791303211253,969.5767170519246,1590.9503034217653,Private,Panoramic,3.0384596932418177,30.3908674588018,1,21.383362966272603,2,0.159,Mansion,RC,1993,1994,4,West,76.34977593483366,87.2890912407859,218.31053519559674,1,0,0,1,Mechanical,1,0,Medium,1,0,0,1,5,3,0,1,1,Compact,Standard,0,0,Auto,1,1.1081022452238178,1,0,1,0,1,2,7,A,5,1,9,3,10990.568550121032,Leasehold_50yr,Owner,Inheritance,VacantSoon,Agent,2022,5,6,1,1,1,1,65141207.67711884,1,0,0,5,6.484727798750711,Medium,0,4.25,1,Yes,25,43.23550949155487,A,1,5496120.35489154,0.04,-0.005,105,53,185,92,4,0,0,0,0,1,0,0,66325000.0
Minato,Residential,1,1.7022026004557111,None,50.0,756.207370307694,752.4722863963344,Alley,Partial,0.8856203427586584,27.34990200177358,5,8.976946086550598,1,0.097,Mansion,Precast,2011,2014,2,East,72.37473284555278,97.74326827841954,266.05323136366246,1,1,1,0,Manual,0,1,High,0,0,0,0,5,3,1,1,1,Compact,Standard,1,0,Standard,0,5.85480099278842,0,0,1,1,4,1,3,B,3,0,1,6,12524.093424153987,Freehold,Bank,Normal,Immediate,Agent,2022,8,2,3,0,0,1,60083543.41754072,0,0,1,2,6.651677193921583,Medium,0,3.68,1,No,62,62.75403435541842,A,0,6402439.431850258,0.09,0.013,232,66,187,62,8,0,0,0,0,1,0,0,67789000.0
Taito,Industrial,1,0.8232964854675329,Moderate,367.40047120181777,997.2159313698812,1125.3478015747442,Main,Open,3.369788801598269,25.692082490890325,3,31.39563152821337,3,0.197,Apartment,RC,2008,2007,9,North,70.92179772702201,156.667791468991,221.1277553174286,1,0,0,1,Manual,1,0,High,1,1,1,1,1,1,0,2,2,Compact,Standard,0,0,Standard,1,1.9860997153907665,0,0,1,0,5,2,7,D,4,0,2,1,10134.167488868661,Freehold,Company,Foreclosure,VacantSoon,Agent,2021,2,7,1,0,1,1,96961663.92267337,1,1,0,4,2.0208141858150324,Low,1,6.7,1,No,26,37.730917842614815,C,0,5381221.94888819,0.26,-0.003,323,46,174,36,7,0,0,0,0,0,0,1,102243000.0
Taito,Residential,1,1.9850632226792349,Moderate,82.4628143489524,819.4278043307606,1696.5719807508929,Alley,Blocked,2.5393458045039905,27.30001054321126,4,17.52810007887071,0,0.273,Mansion,Steel,1983,1990,3,North,60.3095702744187,120.81249537489792,249.65751203225935,1,0,1,0,Mechanical,1,0,Low,1,1,1,1,2,2,1,2,2,Closed,High-End,1,1,Auto,0,5.745702310667023,1,1,0,1,4,3,6,A,8,0,5,4,11278.663734630365,Leasehold_50yr,Bank,Inheritance,VacantSoon,Agent,2023,7,5,2,1,0,1,66661450.770132594,1,1,1,5,2.0533872776743163,Low,1,3.07,0,No,84,83.32523050480883,C,1,5933139.834223749,0.1,0.02,328,57,147,32,2,0,0,0,0,0,0,1,100454000.0
Shibuya,Industrial,0,1.6651515163952195,None,345.3234104978609,1360.2721386105068,1455.8550296461353,Alley,Partial,3.8645934832700126,12.537853928122065,1,28.317577964694802,0,0.012,Apartment,Steel,2018,1992,9,West,57.59569915278088,48.71860828548479,273.72381634271056,1,0,1,0,Manual,0,1,None,1,0,0,1,3,2,0,2,2,Island,Standard,0,1,Auto,0,3.5296382098060994,0,0,1,0,3,3,8,A,1,1,10,8,13706.458695498397,Freehold,Bank,Normal,Rented,Agent,2021,5,8,1,1,1,1,55830261.39835669,1,0,1,5,7.571073699861945,High,1,4.72,1,Yes,29,29.489742463650416,A,1,5598105.290138431,0.28,0.049,189,75,35,70,9,0,0,0,0,1,0,0,38616000.0
Minato,Commercial,0,2.4990897950533224,Moderate,240.5204415110326,987.83748390651,1654.342777991643,Main,Panoramic,4.201587379321478,42.63322868748058,4,24.87895101651435,5,0.049,RowHouse,Steel,2020,1993,4,East,194.68632370769325,66.27537756589055,273.294030361667,1,0,0,0,Mechanical,0,1,Medium,0,0,0,0,5,2,1,2,2,Island,Standard,1,1,Smart,1,6.195724089241139,1,1,1,1,2,4,8,E,6,1,7,3,7245.458847850932,Leasehold_30yr,Company,Inheritance,Immediate,Agent,2024,9,4,3,1,0,1,62391351.96144264,0,0,0,3,1.0,Low,1,8.0,0,No,77,24.799724800414694,A,0,7609570.221764008,0.08,-0.019,476,46,146,11,9,0,0,0,0,1,0,0,61532000.0
Minato,Residential,0,2.563459954183239,None,180.84269952762975,1068.685122844481,1912.614052487058,Private,Partial,0.569591130286571,34.43089734936601,3,27.934919413001168,3,0.045,Detached,Wood,1974,2023,10,North,189.68249414890147,138.92006812379833,221.54789762154294,0,1,0,1,Manual,0,1,Low,1,0,1,0,4,2,1,2,2,Compact,High-End,0,0,Auto,1,1.5803307309542354,0,0,0,0,4,1,1,C,8,0,4,4,17604.20972977563,Freehold,Company,Normal,VacantSoon,Owner,2021,8,3,2,1,1,0,62811021.971028075,1,0,1,4,6.395502388034731,Low,0,5.54,0,No,4,76.08351054149824,B,0,3000000.0,0.27,0.007,157,75,109,68,1,0,0,1,0,0,0,0,87453000.0
Minato,Industrial,0,2.791209039012881,Light,696.9311280300535,365.5617767539285,1464.0439502799609,Main,Panoramic,3.4175564335836635,31.20615015727526,4,28.503246259867392,1,0.278,RowHouse,Wood,1988,2017,7,South,177.37485751856573,106.31205728634991,259.48615588185504,0,0,1,1,None,1,1,High,0,0,1,1,3,3,1,1,2,Compact,Standard,0,0,Smart,0,0.6910388667717084,0,0,1,0,3,4,4,E,7,0,8,4,14806.55606284069,Leasehold_30yr,Owner,Normal,VacantSoon,Agent,2023,12,7,5,1,1,0,72731611.10301162,1,0,1,2,4.619706590299821,Low,0,3.1,0,Yes,14,65.60346661090202,B,1,6294634.474383925,0.19,0.033,316,74,151,34,3,1,0,0,0,1,0,0,72094000.0
Taito,Residential,1,1.4917396491048691,Heavy,80.94727574823656,448.6293658312285,707.7264471598426,Private,Open,4.461774308990108,39.845175038019136,3,31.936282509182632,2,0.202,Mansion,Steel,1972,2004,7,West,123.66324336876112,20.0,251.81048721712713,1,0,1,0,None,1,1,Low,1,1,1,0,2,2,1,1,2,Island,Standard,0,0,Smart,0,4.212650329438178,0,1,1,0,1,4,2,D,8,0,7,3,12900.492602707962,Leasehold_50yr,Company,Inheritance,Rented,Owner,2024,8,4,5,0,0,0,101500583.42459437,1,1,1,2,4.3298530859657385,Medium,0,3.33,1,No,55,100.0,B,1,4278016.48624518,0.02,-0.001,338,48,77,13,1,0,0,0,0,0,0,0,32315000.0
